日期,開盤,最高,最低,收盤,成交量
2018-01-30,7.61,7.65,7.57,7.57,676637.0
2018-01-31,7.56,7.58,7.51,7.55,596088.0
2018-02-01,7.59,7.59,7.55,7.58,258489.0
2018-02-02,7.6,7.6,7.49,7.55,528189.0
2018-02-05,7.48,7.48,7.4,7.47,1266348.0
2018-02-06,7.4,7.41,7.05,7.15,1938211.0
2018-02-07,7.22,7.25,7.2,7.2,992570.0
2018-02-08,7.22,7.27,7.18,7.19,611932.0
2018-02-09,7.11,7.11,7.04,7.05,1705570.0
2018-02-12,7.11,7.11,7.04,7.06,583793.0
2018-02-21,7.1,7.18,7.09,7.18,986221.0
2018-02-22,7.2,7.22,7.17,7.22,540775.0
2018-02-23,7.19,7.28,7.19,7.24,542188.0
2018-02-26,7.25,7.31,7.23,7.28,573222.0
2018-02-27,7.34,7.35,7.29,7.3,754434.0
2018-03-01,7.28,7.36,7.28,7.35,561170.0
2018-03-02,7.35,7.39,7.33,7.36,515571.0
2018-03-05,7.36,7.39,7.28,7.32,414034.0
2018-03-06,7.33,7.37,7.33,7.34,413382.0
2018-03-07,7.35,7.35,7.33,7.34,530936.0
2018-03-08,7.34,7.44,7.34,7.42,737912.0
2018-03-09,7.47,7.47,7.41,7.44,341832.0
2018-03-12,7.44,7.44,7.4,7.44,366739.0
2018-03-13,7.46,7.51,7.43,7.48,862689.0
2018-03-14,7.48,7.48,7.42,7.44,564710.0
2018-03-15,7.48,7.48,7.42,7.47,328913.0
2018-03-16,7.45,7.46,7.41,7.41,659057.0
2018-03-19,7.41,7.45,7.39,7.44,449913.0
2018-03-20,7.4,7.45,7.38,7.41,345333.0
2018-03-21,7.4,7.45,7.4,7.44,338100.0
2018-03-22,7.44,7.44,7.4,7.41,574949.0
2018-03-23,7.33,7.42,7.33,7.35,469065.0
2018-03-26,7.35,7.41,7.35,7.38,419810.0
2018-03-27,7.49,7.49,7.43,7.47,487551.0
2018-03-28,7.45,7.48,7.41,7.41,578034.0
2018-03-29,7.41,7.45,7.4,7.44,526673.0
2018-03-30,7.46,7.47,7.41,7.44,295856.0
2018-04-02,7.43,7.43,7.4,7.42,465845.0
2018-04-03,7.4,7.42,7.37,7.4,457926.0
2018-04-09,7.4,7.48,7.4,7.43,711332.0
2018-04-10,7.44,7.56,7.44,7.52,1303932.0
2018-04-11,7.56,7.68,7.56,7.65,2401919.0
2018-04-12,7.7,7.75,7.63,7.63,1763163.0
2018-04-13,7.65,7.65,7.6,7.62,713330.0
2018-04-16,7.62,7.66,7.6,7.6,503960.0
2018-04-17,7.6,7.6,7.48,7.48,774677.0
2018-04-18,7.49,7.51,7.45,7.45,514354.0
2018-04-19,7.48,7.54,7.48,7.51,467882.0
2018-04-20,7.51,7.56,7.5,7.51,275279.0
2018-04-23,7.51,7.64,7.51,7.6,959212.0
2018-04-24,7.61,7.61,7.49,7.5,861139.0
2018-04-25,7.49,7.52,7.48,7.48,523114.0
2018-04-26,7.5,7.55,7.45,7.45,678220.0
2018-04-27,7.47,7.52,7.38,7.4,921184.0
2018-04-30,7.42,7.57,7.42,7.51,605237.0
2018-05-02,7.52,7.57,7.51,7.52,531563.0
2018-05-03,7.52,7.54,7.45,7.47,344997.0
2018-05-04,7.47,7.48,7.43,7.46,349477.0
2018-05-07,7.46,7.5,7.46,7.49,194443.0
2018-05-08,7.5,7.54,7.49,7.52,514130.0
2018-05-09,7.51,7.54,7.47,7.5,344911.0
2018-05-10,7.5,7.51,7.48,7.49,316470.0
2018-05-11,7.49,7.5,7.4,7.44,909515.0
2018-05-14,7.44,7.44,7.39,7.4,760449.0
2018-05-15,7.5,7.51,7.46,7.48,671644.0
2018-05-16,7.48,7.5,7.43,7.43,462316.0
2018-05-17,7.46,7.52,7.46,7.52,692303.0
2018-05-18,7.53,7.95,7.53,7.88,12789330.0
2018-05-21,7.88,7.88,7.76,7.82,4361656.0
2018-05-22,7.82,7.85,7.7,7.72,1727607.0
2018-05-23,7.77,7.77,7.67,7.68,905953.0
2018-05-24,7.69,8.38,7.67,8.2,10035520.0
2018-05-25,8.26,8.26,8.01,8.03,6126797.0
2018-05-28,8.03,8.05,7.93,7.96,2816498.0
2018-05-29,8.0,8.15,8.0,8.0,3012570.0
2018-05-30,7.95,8.27,7.92,8.13,5489956.0
2018-05-31,8.13,8.15,8.01,8.03,3103471.0
2018-06-01,8.04,8.08,8.0,8.03,1553528.0
2018-06-04,8.12,8.22,8.12,8.14,4155032.0
2018-06-05,8.15,8.18,8.06,8.07,2033111.0
2018-06-06,8.07,8.17,8.07,8.08,1658469.0
2018-06-07,8.12,8.5,8.1,8.3,9511998.0
