日期,開盤,最高,最低,收盤,成交量
2022-06-29,92.0,101.5,88.400002,94.0,107396.0
2022-06-30,91.300003,94.400002,79.0,82.400002,114665.0
2022-07-01,81.5,82.0,73.099998,74.699997,69896.0
2022-07-04,74.699997,74.699997,61.5,65.199997,128700.0
2022-07-05,65.199997,68.800003,62.599998,66.199997,79923.0
2022-07-06,66.099998,66.099998,63.900002,64.300003,43400.0
2022-07-07,65.0,66.0,64.199997,65.800003,53005.0
2022-07-08,66.599998,73.800003,66.599998,71.0,106984.0
2022-07-11,69.699997,70.0,66.099998,68.199997,32220.0
2022-07-12,67.900002,67.900002,64.800003,66.5,46322.0
2022-07-13,67.099998,69.5,67.099998,69.400002,14507.0
2022-07-14,68.300003,68.300003,66.5,67.699997,11971.0
2022-07-15,67.699997,67.900002,66.099998,67.300003,3133.0
2022-07-18,67.199997,67.300003,66.199997,67.300003,10727.0
2022-07-19,67.599998,72.599998,67.5,71.0,31748.0
2022-07-20,69.599998,71.5,69.5,71.199997,34482.0
2022-07-21,70.900002,71.199997,69.0,70.599998,48749.0
2022-07-22,71.0,71.800003,70.099998,70.699997,46297.0
2022-07-25,70.699997,71.800003,70.300003,70.5,14010.0
2022-07-26,70.199997,71.099998,70.199997,71.0,17012.0
2022-07-27,71.0,72.0,71.0,71.199997,17516.0
2022-07-28,70.800003,71.800003,70.800003,71.800003,6643.0
2022-07-29,71.800003,72.099998,70.800003,71.0,12001.0
2022-08-01,70.699997,71.699997,70.699997,71.699997,1002.0
2022-08-02,70.699997,71.900002,70.599998,71.5,38264.0
2022-08-03,71.5,71.5,71.5,71.5,420.0
2022-08-04,71.400002,71.900002,71.199997,71.400002,7255.0
2022-08-05,71.400002,72.099998,71.400002,71.800003,2100.0
2022-08-08,71.400002,71.900002,71.300003,71.300003,9761.0
2022-08-09,71.699997,71.699997,71.099998,71.099998,2650.0
2022-08-10,71.099998,71.099998,70.5,70.599998,15691.0
2022-08-11,71.300003,71.400002,71.0,71.400002,9510.0
2022-08-12,71.599998,71.599998,71.0,71.0,12100.0
2022-08-15,70.800003,71.5,70.099998,70.599998,7276.0
2022-08-16,71.199997,71.400002,70.800003,71.199997,23751.0
2022-08-17,71.800003,72.0,71.5,72.0,15727.0
2022-08-18,72.900002,73.099998,72.0,73.099998,9510.0
2022-08-19,73.199997,78.400002,73.0,77.800003,156812.0
2022-08-22,77.800003,80.699997,77.599998,80.300003,42138.0
2022-08-23,77.5,78.300003,77.0,77.0,4030.0
2022-08-24,78.0,78.300003,77.0,78.0,18344.0
2022-08-25,78.599998,81.400002,78.0,81.0,106534.0
2022-08-26,81.0,82.300003,80.099998,81.0,58330.0
2022-08-29,81.0,81.0,78.800003,78.900002,19102.0
2022-08-30,78.800003,81.099998,78.800003,81.0,37502.0
2022-08-31,81.0,81.099998,79.800003,80.900002,4301.0
